,Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Size,Color,Material,Warranty,Manufacturer,Rating,Shipping_Weight,Delivery_Time,Discount,Eco_Friendly,Shipping_Cost,Shipping_Company,Shipping_Type,Insurance,Return_Policy
188553,2023-10-17,17,October,2023,54,Adults (35-64),M,Germany,Nordrhein-Westfalen,Accessories,Tires and Tubes,LL Mountain Tire,12,9,25,153,108,261,Small,Red,Steel,1 Year,Manufacturer D,2,6.53,3,19,False,67.7,DHL,Express,,No Return
188558,2023-09-03,3,September,2023,27,Young Adults (25-34),M,Germany,Hessen,Accessories,Tires and Tubes,Touring Tire Tube,12,2,5,32,24,56,Medium,White,Steel,1 Year,Manufacturer B,4,5.98,1,18,False,78.21,Posti,Next Day,Premium,60 Days
188593,2023-09-27,27,September,2023,46,Adults (35-64),F,Germany,Hessen,Accessories,Tires and Tubes,Patch Kit/8 Patches,6,1,2,5,6,11,Medium,White,Plastic,3 Years,Manufacturer A,2,5.66,7,3,True,96.79,FedEx,Next Day,Basic,60 Days
188618,2023-06-05,5,June,2023,29,Young Adults (25-34),M,France,Seine (Paris),Accessories,Tires and Tubes,HL Mountain Tire,19,13,35,298,247,545,Extra Large,White,Aluminum,Lifetime,Manufacturer C,2,5.51,4,26,True,21.87,FedEx,Express,,7 Days
188642,2023-07-29,29,July,2023,22,Youth (<25),M,Australia,South Australia,Accessories,Tires and Tubes,Patch Kit/8 Patches,27,1,2,17,27,44,Medium,Black,Aluminum,Lifetime,Manufacturer C,2,10.1,5,29,True,67.19,UPS,Same Day,Basic,60 Days
188666,2023-08-26,26,August,2023,24,Youth (<25),M,France,Loir et Cher,Accessories,Tires and Tubes,Road Tire Tube,3,1,4,8,3,11,Small,Green,Steel,2 Years,Manufacturer A,4,9.73,2,29,False,94.64,GLS,Next Day,Premium,7 Days
188674,2023-09-08,8,September,2023,23,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,14,1,2,14,14,28,Large,Black,Carbon Fiber,3 Years,Manufacturer D,5,7.92,7,21,False,51.69,UPS,Express,Premium,7 Days
188688,2023-10-21,21,October,2023,23,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,20,1,2,20,20,40,Extra Large,White,Plastic,Lifetime,Manufacturer B,4,9.03,6,22,False,5.44,UPS,Next Day,,7 Days
188694,2023-10-26,26,October,2023,23,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,24,1,2,24,24,48,Medium,Green,Carbon Fiber,2 Years,Manufacturer D,1,5.29,1,27,False,98.48,FedEx,Standard,Premium,30 Days
188699,2023-11-01,1,November,2023,23,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,30,1,2,29,30,59,Medium,Red,Steel,Lifetime,Manufacturer B,5,2.66,6,2,False,92.89,Posti,Standard,Basic,7 Days
188706,2023-11-23,23,November,2023,23,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,18,1,2,18,18,36,Medium,Red,Steel,3 Years,Manufacturer C,2,12.32,5,12,False,67.58,Posti,Next Day,Premium,30 Days
188712,2023-01-20,20,January,2023,23,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,2,1,2,2,2,4,Large,Red,Carbon Fiber,3 Years,Manufacturer C,5,9.35,8,18,True,73.87,Posti,Next Day,Basic,No Return
188718,2023-02-15,15,February,2023,23,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,6,1,2,6,6,12,Extra Large,White,Carbon Fiber,Lifetime,Manufacturer B,5,7.49,1,2,False,55.42,Posti,Standard,Premium,No Return
188722,2023-03-25,25,March,2023,23,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,9,1,2,9,9,18,Medium,Red,Carbon Fiber,Lifetime,Manufacturer A,3,14.54,9,10,False,83.83,GLS,Same Day,Basic,7 Days
188725,2023-04-05,5,April,2023,23,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,11,1,2,11,11,22,Extra Large,Red,Plastic,Lifetime,Manufacturer D,3,9.07,7,16,False,70.96,UPS,Express,Basic,No Return
188730,2023-05-31,31,May,2023,23,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,27,1,2,26,27,53,Small,Red,Carbon Fiber,2 Years,Manufacturer B,3,9.69,4,11,True,36.24,UPS,Same Day,Basic,30 Days
188733,2023-06-14,14,June,2023,23,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,25,1,2,25,25,50,Extra Large,Green,Plastic,2 Years,Manufacturer C,3,9.86,9,14,False,81.61,UPS,Same Day,Basic,No Return
188736,2023-06-25,25,June,2023,23,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,13,1,2,13,13,26,Large,Blue,Steel,3 Years,Manufacturer C,2,7.58,6,27,True,52.53,DHL,Same Day,,7 Days
188746,2023-07-24,24,July,2023,23,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,6,1,2,6,6,12,Extra Large,Green,Steel,2 Years,Manufacturer C,4,12.22,3,1,False,36.93,UPS,Same Day,Premium,60 Days
188747,2023-07-24,24,July,2023,23,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,4,1,2,4,4,8,Large,Green,Plastic,3 Years,Manufacturer C,5,8.49,4,5,True,16.33,UPS,Standard,,30 Days
188749,2023-11-27,27,November,2023,67,Seniors (64+),M,United States,California,Accessories,Tires and Tubes,Touring Tire Tube,30,2,5,87,60,147,Small,Green,Carbon Fiber,1 Year,Manufacturer C,1,4.85,1,21,True,11.83,GLS,Standard,,30 Days
188752,2023-11-02,2,November,2023,66,Seniors (64+),F,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,12,1,2,12,12,24,Medium,Red,Carbon Fiber,2 Years,Manufacturer A,2,4.61,3,28,False,86.73,GLS,Standard,Premium,No Return
188762,2023-07-13,13,July,2023,40,Adults (35-64),F,United States,Alabama,Accessories,Tires and Tubes,Patch Kit/8 Patches,27,1,2,27,27,54,Medium,Black,Carbon Fiber,2 Years,Manufacturer A,1,1.1,4,14,False,46.5,DHL,Express,,30 Days
188770,2023-08-09,9,August,2023,30,Young Adults (25-34),F,France,Val d'Oise,Accessories,Tires and Tubes,LL Road Tire,1,8,21,9,8,17,Large,Blue,Steel,Lifetime,Manufacturer A,2,4.41,7,22,False,65.13,GLS,Express,,30 Days
188783,2023-09-29,29,September,2023,30,Young Adults (25-34),F,France,Val d'Oise,Accessories,Tires and Tubes,LL Road Tire,12,8,21,103,96,199,Medium,White,Plastic,1 Year,Manufacturer D,1,12.93,5,1,True,9.31,UPS,Express,Basic,30 Days
188794,2023-10-17,17,October,2023,30,Young Adults (25-34),F,France,Val d'Oise,Accessories,Tires and Tubes,LL Road Tire,20,8,21,172,160,332,Small,Red,Plastic,1 Year,Manufacturer C,1,2.22,7,25,True,14.96,Posti,Express,Premium,No Return
188828,2023-04-30,30,April,2023,30,Young Adults (25-34),F,France,Val d'Oise,Accessories,Tires and Tubes,LL Road Tire,27,8,21,232,216,448,Extra Large,Green,Plastic,1 Year,Manufacturer C,5,3.49,4,8,False,96.49,Posti,Same Day,,60 Days
188842,2023-07-10,10,July,2023,30,Young Adults (25-34),F,France,Val d'Oise,Accessories,Tires and Tubes,LL Road Tire,23,8,21,198,184,382,Small,White,Plastic,Lifetime,Manufacturer C,5,4.84,8,13,False,20.06,Posti,Same Day,,7 Days
188872,2023-11-14,14,November,2023,24,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,22,1,2,22,22,44,Large,Black,Steel,3 Years,Manufacturer C,1,14.24,9,17,True,96.0,UPS,Next Day,Basic,No Return
188879,2023-12-15,15,December,2023,24,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,17,1,2,17,17,34,Extra Large,Red,Steel,3 Years,Manufacturer D,5,10.4,7,21,False,83.39,FedEx,Express,Premium,60 Days
188882,2023-12-15,15,December,2023,24,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,16,1,2,16,16,32,Medium,Blue,Aluminum,1 Year,Manufacturer A,2,12.58,2,11,False,45.9,DHL,Same Day,,30 Days
188889,2023-01-15,15,January,2023,24,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,11,1,2,11,11,22,Extra Large,Black,Plastic,1 Year,Manufacturer C,4,1.97,8,18,True,73.39,UPS,Same Day,Basic,30 Days
188901,2023-02-18,18,February,2023,24,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,7,1,2,7,7,14,Medium,Blue,Steel,1 Year,Manufacturer B,3,2.39,9,20,False,87.49,DHL,Express,Premium,No Return
188920,2023-04-21,21,April,2023,24,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,3,1,2,3,3,6,Large,White,Steel,Lifetime,Manufacturer A,3,12.12,3,22,True,69.77,DHL,Same Day,Premium,No Return
188930,2023-06-04,4,June,2023,24,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,17,1,2,17,17,34,Small,Red,Plastic,2 Years,Manufacturer B,2,3.0,3,29,False,58.86,Posti,Same Day,Basic,30 Days
188935,2023-07-06,6,July,2023,24,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,4,1,2,4,4,8,Large,Red,Aluminum,3 Years,Manufacturer D,4,11.61,2,7,True,70.7,UPS,Same Day,Premium,60 Days
188950,2023-10-13,13,October,2023,24,Youth (<25),M,United States,California,Accessories,Tires and Tubes,HL Mountain Tire,23,13,35,490,299,789,Extra Large,Red,Carbon Fiber,Lifetime,Manufacturer B,2,11.82,6,15,True,8.19,FedEx,Next Day,Basic,7 Days
188957,2023-10-25,25,October,2023,24,Youth (<25),M,United States,California,Accessories,Tires and Tubes,HL Mountain Tire,26,13,35,554,338,892,Large,Black,Carbon Fiber,1 Year,Manufacturer D,4,6.21,1,29,True,41.46,GLS,Standard,Basic,30 Days
188961,2023-11-16,16,November,2023,24,Youth (<25),M,United States,California,Accessories,Tires and Tubes,HL Mountain Tire,20,13,35,426,260,686,Extra Large,Blue,Steel,Lifetime,Manufacturer B,1,1.25,1,28,True,16.24,Posti,Standard,Premium,7 Days
188980,2023-02-12,12,February,2023,24,Youth (<25),M,United States,California,Accessories,Tires and Tubes,HL Mountain Tire,24,13,35,511,312,823,Extra Large,Black,Aluminum,1 Year,Manufacturer D,4,2.92,5,6,True,65.27,FedEx,Standard,,7 Days
189000,2023-04-25,25,April,2023,24,Youth (<25),M,United States,California,Accessories,Tires and Tubes,HL Mountain Tire,13,13,35,277,169,446,Medium,Blue,Aluminum,Lifetime,Manufacturer C,3,5.51,4,5,True,76.84,FedEx,Next Day,,60 Days
189006,2023-05-12,12,May,2023,24,Youth (<25),M,United States,California,Accessories,Tires and Tubes,HL Mountain Tire,14,13,35,298,182,480,Extra Large,Blue,Steel,Lifetime,Manufacturer C,5,13.32,8,17,False,72.12,DHL,Same Day,Basic,30 Days
189010,2023-05-28,28,May,2023,24,Youth (<25),M,United States,California,Accessories,Tires and Tubes,HL Mountain Tire,23,13,35,490,299,789,Small,Black,Aluminum,2 Years,Manufacturer B,3,14.67,9,8,False,12.4,FedEx,Standard,Premium,30 Days
189021,2023-10-23,23,October,2023,27,Young Adults (25-34),F,United States,Washington,Accessories,Tires and Tubes,LL Road Tire,7,8,21,59,56,115,Extra Large,White,Carbon Fiber,3 Years,Manufacturer B,5,10.62,5,18,False,52.04,GLS,Express,,No Return
189028,2023-05-12,12,May,2023,27,Young Adults (25-34),F,United States,Washington,Accessories,Tires and Tubes,LL Road Tire,3,8,21,25,24,49,Large,Blue,Plastic,Lifetime,Manufacturer A,3,12.74,1,22,True,84.6,Posti,Next Day,,30 Days
189029,2023-05-12,12,May,2023,27,Young Adults (25-34),F,United States,Washington,Accessories,Tires and Tubes,LL Road Tire,7,8,21,59,56,115,Medium,Black,Carbon Fiber,1 Year,Manufacturer D,3,4.68,3,15,True,57.75,Posti,Standard,Premium,60 Days
189033,2023-06-13,13,June,2023,27,Young Adults (25-34),F,United States,Washington,Accessories,Tires and Tubes,LL Road Tire,2,8,21,17,16,33,Extra Large,Blue,Steel,1 Year,Manufacturer A,2,5.09,6,2,True,87.66,DHL,Next Day,,30 Days
189051,2023-08-27,27,August,2023,26,Young Adults (25-34),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,18,2,5,52,36,88,Extra Large,Blue,Carbon Fiber,2 Years,Manufacturer A,4,3.26,2,1,False,94.39,Posti,Express,,30 Days
189076,2023-03-14,14,March,2023,26,Young Adults (25-34),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,2,2,5,6,4,10,Small,Blue,Steel,2 Years,Manufacturer D,5,9.04,5,26,True,43.39,FedEx,Standard,Basic,60 Days
189089,2023-03-20,20,March,2023,26,Young Adults (25-34),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,20,2,5,58,40,98,Medium,Red,Aluminum,1 Year,Manufacturer B,4,8.2,2,3,False,66.17,FedEx,Standard,Premium,No Return
189102,2023-06-04,4,June,2023,26,Young Adults (25-34),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,20,2,5,58,40,98,Extra Large,Blue,Plastic,2 Years,Manufacturer B,4,2.97,7,29,True,34.38,DHL,Same Day,Premium,7 Days
189109,2023-07-15,15,July,2023,26,Young Adults (25-34),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,1,2,5,3,2,5,Large,Blue,Aluminum,Lifetime,Manufacturer A,2,6.41,8,26,False,67.21,Posti,Express,Basic,30 Days
189113,2023-06-11,11,June,2023,31,Young Adults (25-34),M,United States,Minnesota,Accessories,Tires and Tubes,Patch Kit/8 Patches,23,1,2,17,23,40,Extra Large,White,Aluminum,Lifetime,Manufacturer C,3,9.11,1,23,True,27.11,UPS,Next Day,,60 Days
189116,2023-08-09,9,August,2023,28,Young Adults (25-34),M,United States,Wyoming,Accessories,Tires and Tubes,HL Mountain Tire,28,13,35,400,364,764,Extra Large,Green,Plastic,3 Years,Manufacturer C,4,4.44,4,23,False,55.28,GLS,Same Day,Basic,30 Days
189123,2023-09-02,2,September,2023,34,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,1,1,2,1,1,2,Medium,Blue,Plastic,Lifetime,Manufacturer B,3,8.37,4,7,False,23.05,Posti,Same Day,,60 Days
189125,2023-09-09,9,September,2023,34,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,26,1,2,25,26,51,Extra Large,Blue,Aluminum,3 Years,Manufacturer C,3,2.72,2,17,True,48.48,Posti,Standard,Basic,No Return
189127,2023-10-29,29,October,2023,34,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,20,1,2,19,20,39,Medium,Red,Carbon Fiber,3 Years,Manufacturer B,3,7.14,7,24,True,83.2,FedEx,Standard,Premium,7 Days
189135,2023-11-05,5,November,2023,34,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,7,1,2,7,7,14,Small,Black,Carbon Fiber,Lifetime,Manufacturer B,2,13.42,3,12,True,71.97,FedEx,Next Day,,No Return
189145,2023-12-11,11,December,2023,34,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,5,1,2,5,5,10,Medium,White,Aluminum,1 Year,Manufacturer B,3,5.48,1,25,True,55.67,UPS,Next Day,Basic,7 Days
189146,2023-12-16,16,December,2023,34,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,22,1,2,21,22,43,Extra Large,White,Steel,2 Years,Manufacturer B,3,4.57,8,0,True,52.82,GLS,Standard,Basic,No Return
189151,2023-12-21,21,December,2023,34,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,6,1,2,6,6,12,Medium,Red,Carbon Fiber,Lifetime,Manufacturer A,5,3.84,9,11,True,71.98,UPS,Same Day,,No Return
189167,2023-01-11,11,January,2023,34,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,29,1,2,28,29,57,Extra Large,Green,Carbon Fiber,1 Year,Manufacturer D,5,3.83,1,6,True,8.35,UPS,Express,,60 Days
189169,2023-01-11,11,January,2023,34,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,26,1,2,25,26,51,Extra Large,White,Aluminum,1 Year,Manufacturer B,2,9.87,4,3,True,60.73,Posti,Express,Basic,30 Days
189183,2023-03-26,26,March,2023,34,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,4,1,2,4,4,8,Large,Blue,Carbon Fiber,Lifetime,Manufacturer B,2,3.89,8,19,True,46.89,FedEx,Standard,,7 Days
189184,2023-04-02,2,April,2023,34,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,6,1,2,6,6,12,Medium,Red,Plastic,1 Year,Manufacturer A,1,10.89,8,18,False,55.43,GLS,Standard,,30 Days
189190,2023-04-06,6,April,2023,34,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,25,1,2,24,25,49,Medium,Black,Aluminum,Lifetime,Manufacturer D,1,2.94,1,10,False,33.45,UPS,Same Day,,60 Days
189193,2023-04-14,14,April,2023,34,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,6,1,2,6,6,12,Large,Green,Aluminum,3 Years,Manufacturer A,3,3.48,6,29,True,49.21,Posti,Express,,30 Days
189201,2023-05-06,6,May,2023,34,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,13,1,2,12,13,25,Large,Red,Plastic,Lifetime,Manufacturer D,4,4.85,3,4,True,14.11,DHL,Express,Basic,7 Days
189204,2023-05-25,25,May,2023,34,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,16,1,2,15,16,31,Large,Green,Plastic,1 Year,Manufacturer A,2,0.76,8,25,False,7.96,UPS,Same Day,,60 Days
189207,2023-05-25,25,May,2023,34,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,17,1,2,16,17,33,Medium,White,Plastic,1 Year,Manufacturer B,5,9.29,7,25,False,25.93,GLS,Standard,,7 Days
189234,2023-06-21,21,June,2023,34,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,27,1,2,26,27,53,Extra Large,Blue,Steel,2 Years,Manufacturer C,5,11.05,6,2,True,39.68,DHL,Express,,No Return
189243,2023-06-22,22,June,2023,34,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,26,1,2,25,26,51,Small,Green,Carbon Fiber,2 Years,Manufacturer C,4,11.75,9,6,False,57.53,GLS,Standard,Basic,60 Days
189246,2023-06-23,23,June,2023,34,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,5,1,2,5,5,10,Extra Large,Red,Steel,Lifetime,Manufacturer B,4,5.29,9,9,False,61.52,UPS,Next Day,Premium,30 Days
189255,2023-07-05,5,July,2023,35,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,14,2,5,41,28,69,Large,Red,Plastic,Lifetime,Manufacturer C,1,8.15,4,23,True,31.24,GLS,Standard,Basic,60 Days
189256,2023-07-09,9,July,2023,35,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,11,2,5,32,22,54,Large,Red,Carbon Fiber,Lifetime,Manufacturer A,1,13.08,8,16,True,72.65,UPS,Express,Premium,30 Days
189280,2023-11-15,15,November,2023,35,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,21,2,5,61,42,103,Extra Large,Black,Carbon Fiber,1 Year,Manufacturer D,1,5.07,2,17,True,76.17,UPS,Next Day,,60 Days
189291,2023-01-04,4,January,2023,35,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,17,2,5,49,34,83,Extra Large,Green,Plastic,3 Years,Manufacturer D,1,9.66,9,24,True,25.14,UPS,Next Day,Basic,7 Days
189297,2023-02-05,5,February,2023,35,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,17,2,5,49,34,83,Large,Green,Steel,3 Years,Manufacturer D,5,13.44,4,16,False,11.29,Posti,Next Day,,30 Days
189300,2023-02-25,25,February,2023,35,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,17,2,5,49,34,83,Small,White,Plastic,1 Year,Manufacturer D,2,10.25,7,1,True,77.99,UPS,Same Day,Premium,No Return
189306,2023-03-24,24,March,2023,35,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,6,2,5,17,12,29,Medium,White,Steel,Lifetime,Manufacturer C,5,0.58,3,28,True,13.95,FedEx,Standard,Basic,No Return
189316,2023-06-14,14,June,2023,35,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,30,2,5,87,60,147,Small,Blue,Carbon Fiber,3 Years,Manufacturer D,5,7.45,1,19,False,30.11,Posti,Standard,,No Return
189320,2023-06-26,26,June,2023,35,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,10,2,5,29,20,49,Large,Red,Carbon Fiber,2 Years,Manufacturer D,2,7.88,7,23,True,27.58,FedEx,Express,Basic,60 Days
189333,2023-07-30,30,July,2023,35,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,4,2,5,12,8,20,Small,White,Carbon Fiber,2 Years,Manufacturer A,2,6.14,8,25,True,37.02,Posti,Standard,Basic,30 Days
189336,2023-08-12,12,August,2023,36,Adults (35-64),F,United States,Oregon,Accessories,Tires and Tubes,HL Mountain Tire,4,13,35,68,52,120,Extra Large,White,Aluminum,3 Years,Manufacturer C,2,4.76,7,8,True,55.24,DHL,Same Day,Basic,No Return
189342,2023-10-07,7,October,2023,36,Adults (35-64),F,United States,Oregon,Accessories,Tires and Tubes,HL Mountain Tire,26,13,35,445,338,783,Extra Large,Green,Aluminum,1 Year,Manufacturer B,5,1.42,2,3,True,31.29,UPS,Standard,Premium,60 Days
189345,2023-10-16,16,October,2023,36,Adults (35-64),F,United States,Oregon,Accessories,Tires and Tubes,HL Mountain Tire,1,13,35,17,13,30,Small,Green,Steel,1 Year,Manufacturer A,3,9.02,6,22,False,61.59,GLS,Standard,,30 Days
189346,2023-10-16,16,October,2023,36,Adults (35-64),F,United States,Oregon,Accessories,Tires and Tubes,HL Mountain Tire,14,13,35,239,182,421,Medium,Black,Plastic,3 Years,Manufacturer D,4,6.62,1,25,False,82.17,FedEx,Same Day,Premium,60 Days
189396,2023-02-02,2,February,2023,38,Adults (35-64),F,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,21,1,2,12,21,33,Small,Black,Plastic,1 Year,Manufacturer D,4,4.11,1,24,True,7.0,DHL,Standard,Basic,30 Days
189397,2023-02-02,2,February,2023,38,Adults (35-64),F,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,19,1,2,11,19,30,Extra Large,White,Carbon Fiber,2 Years,Manufacturer C,3,3.18,9,0,True,97.63,GLS,Same Day,Premium,60 Days
189412,2023-05-13,13,May,2023,38,Adults (35-64),F,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,29,1,2,16,29,45,Extra Large,Blue,Plastic,Lifetime,Manufacturer C,2,1.77,4,28,False,11.15,FedEx,Standard,,60 Days
189414,2023-05-27,27,May,2023,38,Adults (35-64),F,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,17,1,2,10,17,27,Small,Red,Aluminum,1 Year,Manufacturer D,3,1.02,9,1,True,14.42,Posti,Same Day,Premium,30 Days
189431,2023-03-28,28,March,2023,27,Young Adults (25-34),F,Australia,Victoria,Accessories,Tires and Tubes,LL Mountain Tire,1,9,25,11,9,20,Small,Black,Aluminum,Lifetime,Manufacturer A,5,11.36,8,28,False,83.16,DHL,Same Day,,7 Days
189437,2023-04-24,24,April,2023,27,Young Adults (25-34),F,Australia,Victoria,Accessories,Tires and Tubes,LL Mountain Tire,31,9,25,333,279,612,Extra Large,White,Carbon Fiber,3 Years,Manufacturer C,3,7.51,8,8,True,35.06,UPS,Express,Basic,No Return
189456,2023-10-06,6,October,2023,29,Young Adults (25-34),M,Australia,Queensland,Accessories,Tires and Tubes,LL Mountain Tire,27,9,25,324,243,567,Large,Red,Plastic,2 Years,Manufacturer C,1,3.06,4,12,True,75.25,Posti,Standard,Basic,60 Days
189458,2023-11-07,7,November,2023,29,Young Adults (25-34),M,Australia,Queensland,Accessories,Tires and Tubes,LL Mountain Tire,1,9,25,12,9,21,Large,White,Plastic,2 Years,Manufacturer B,5,9.31,7,2,True,79.84,FedEx,Standard,Basic,30 Days
189462,2023-11-19,19,November,2023,29,Young Adults (25-34),M,Australia,Queensland,Accessories,Tires and Tubes,LL Mountain Tire,3,9,25,36,27,63,Large,Red,Steel,1 Year,Manufacturer C,2,6.71,2,10,False,27.27,UPS,Express,Basic,60 Days
189467,2023-12-02,2,December,2023,29,Young Adults (25-34),M,Australia,Queensland,Accessories,Tires and Tubes,LL Mountain Tire,13,9,25,156,117,273,Small,Green,Steel,1 Year,Manufacturer D,5,1.76,7,24,True,23.24,FedEx,Same Day,Basic,7 Days
189485,2023-06-13,13,June,2023,29,Young Adults (25-34),M,Australia,Queensland,Accessories,Tires and Tubes,LL Mountain Tire,15,9,25,180,135,315,Extra Large,Green,Steel,3 Years,Manufacturer D,3,8.88,6,10,True,26.71,UPS,Standard,,7 Days
189502,2023-08-18,18,August,2023,25,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,HL Mountain Tire,28,13,35,606,364,970,Medium,White,Carbon Fiber,2 Years,Manufacturer C,5,5.08,2,14,True,9.07,DHL,Next Day,Basic,7 Days
189504,2023-08-18,18,August,2023,25,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,HL Mountain Tire,11,13,35,238,143,381,Medium,White,Aluminum,1 Year,Manufacturer A,2,0.88,7,3,False,65.18,UPS,Standard,Basic,60 Days
189513,2023-09-30,30,September,2023,25,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,HL Mountain Tire,32,13,35,693,416,1109,Large,Red,Carbon Fiber,1 Year,Manufacturer D,5,10.25,8,8,False,12.37,UPS,Express,Premium,60 Days
189528,2023-01-29,29,January,2023,25,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,HL Mountain Tire,15,13,35,325,195,520,Medium,Green,Carbon Fiber,Lifetime,Manufacturer B,3,4.15,6,3,False,85.15,Posti,Standard,Basic,60 Days
189543,2023-04-16,16,April,2023,25,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,HL Mountain Tire,9,13,35,195,117,312,Extra Large,White,Aluminum,Lifetime,Manufacturer A,2,8.75,6,18,False,33.16,DHL,Same Day,Basic,30 Days
